;value
min_std;168.57002385016332
max_std;405.807186427995
min_ppv;458.3958876168499
max_ppv;1084.1833872862508
min_dstd;104.04819394700955
max_dstd;185.57911929251117
min_dppv;316.3458585758799
max_dppv;473.40894274168113
