;QB120A-CORRENTE-M1_avg;QB120A-CORRENTE-M2_avg
min_std;0.15720669348027122;0.106503366926434
max_std;1.6174409247292123;1.30662048676368
min_ppv;0.7042000000000002;0.5242000000000004
max_ppv;5.2517;5.140000000000001
min_dstd;0.07949257550533316;0.08468648757518771
max_dstd;0.5147948072771716;0.6372932925774036
min_dppv;0.35749999999999815;0.36089999999999733
max_dppv;2.8534000000000006;2.8871000000000073
