;value
min_std;111.79839210699585
max_std;244.77535133611337
min_ppv;361.1406034081497
max_ppv;743.6884969431999
min_dstd;57.75707127517378
max_dstd;109.15323265424853
min_dppv;180.53244956736035
max_dppv;379.0651049246803
