;value
min_std;159.9659439534467
max_std;721.8209921127517
min_ppv;485.9220031756784
max_ppv;2114.99166937506
min_dstd;149.75301695449892
max_dstd;529.3345280673861
min_dppv;480.1250371182539
max_dppv;1740.07206191104
